zaal,naam,resultaat,hoeken
zaal_15,IMG_20190323_120301.jpg,True,"[array([[[ 276,  602]],

       [[2609,  644]],

       [[2513, 3198]],

       [[ 324, 3213]]], dtype=int32)]"
zaal_15,IMG_20190323_120304.jpg,True,"[array([[[ 497,  996]],

       [[2530, 1005]],

       [[2398, 3109]],

       [[ 605, 3095]]], dtype=int32)]"
zaal_15,IMG_20190323_120309.jpg,True,"[array([[[2342,  972]],

       [[2268, 2927]],

       [[ 596, 2948]],

       [[ 477,  976]]], dtype=int32)]"
zaal_16,IMG_20190323_120406.jpg,True,"[array([[[3500,  223]],

       [[3560, 2481]],

       [[ 287, 2534]],

       [[ 407,  240]]], dtype=int32)]"
zaal_16,IMG_20190323_120417.jpg,True,"[array([[[2611,  272]],

       [[2687, 3210]],

       [[ 252, 3199]],

       [[ 320,  347]]], dtype=int32)]"
zaal_16,IMG_20190323_120430.jpg,True,"[array([[[ 458,  231]],

       [[2700,  261]],

       [[2674, 3146]],

       [[ 378, 3170]]], dtype=int32)]"
zaal_16,IMG_20190323_120439.jpg,True,"[array([[[3570,  223]],

       [[3640, 2581]],

       [[ 435, 2593]],

       [[ 397,  360]]], dtype=int32)]"
zaal_16,IMG_20190323_120443.jpg,True,"[array([[[4031,  380]],

       [[3399, 2502]],

       [[ 467, 2583]],

       [[   4,  361]]], dtype=int32)]"
zaal_17,IMG_20190323_120515.jpg,True,"[array([[[ 685,  570]],

       [[2350,  575]],

       [[2360, 2618]],

       [[ 663, 2608]]], dtype=int32)]"
zaal_17,IMG_20190323_120524.jpg,True,"[array([[[ 658,  256]],

       [[3368,  290]],

       [[3528, 2508]],

       [[ 503, 2520]]], dtype=int32)]"
zaal_17,IMG_20190323_120533.jpg,True,"[array([[[ 520,  421]],

       [[2494,  422]],

       [[2560, 3000]],

       [[ 424, 2998]]], dtype=int32)]"
zaal_17,IMG_20190323_120538.jpg,True,"[array([[[ 673,  364]],

       [[3307,  423]],

       [[3360, 2410]],

       [[ 554, 2379]]], dtype=int32)]"
zaal_17,IMG_20190323_120545.jpg,True,"[array([[[ 575,  549]],

       [[2451,  594]],

       [[2519, 3039]],

       [[ 472, 3048]]], dtype=int32)]"
zaal_17,IMG_20190323_120553.jpg,True,"[array([[[2337,  465]],

       [[2449, 3076]],

       [[ 311, 3088]],

       [[ 350,  469]]], dtype=int32)]"
zaal_17,IMG_20190323_120603.jpg,True,"[array([[[2471,  248]],

       [[2571, 3129]],

       [[ 394, 3158]],

       [[ 443,  273]]], dtype=int32)]"
zaal_17,IMG_20190323_120608.jpg,True,"[array([[[ 679,  820]],

       [[2327,  861]],

       [[2317, 2808]],

       [[ 614, 2798]]], dtype=int32)]"
zaal_17,IMG_20190323_120617.jpg,True,"[array([[[3239,  682]],

       [[3419, 2662]],

       [[ 693, 2691]],

       [[ 913,  611]]], dtype=int32)]"
zaal_18,IMG_20190323_120650.jpg,False,[]
zaal_18,IMG_20190323_120704.jpg,True,"[array([[[2059, 1055]],

       [[2050, 3036]],

       [[ 656, 3078]],

       [[ 616, 1054]]], dtype=int32), array([[[ 258, 1365]],

       [[2311, 1652]],

       [[2336, 3527]],

       [[ 266, 3604]]], dtype=int32)]"
zaal_18,IMG_20190323_120709.jpg,True,"[array([[[ 439, 3253]],

       [[2669, 3276]],

       [[2479,  753]],

       [[ 523,  701]]])]"
zaal_18,IMG_20190323_120713.jpg,False,[]
zaal_18,IMG_20190323_120719.jpg,False,[]
zaal_18,IMG_20190323_120725.jpg,True,"[array([[[ 373,  883]],

       [[2442,  873]],

       [[2299, 3139]],

       [[ 571, 3129]]], dtype=int32)]"
zaal_18,IMG_20190323_120731.jpg,True,"[array([[[2090, 1093]],

       [[2062, 2843]],

       [[ 703, 2830]],

       [[ 671, 1122]]], dtype=int32)]"
zaal_18,IMG_20190323_120735.jpg,True,"[array([[[2140, 1093]],

       [[2110, 2528]],

       [[ 954, 2547]],

       [[ 903, 1102]]], dtype=int32)]"
zaal_18,IMG_20190323_120740.jpg,True,"[array([[[ 710,  992]],

       [[2192, 1019]],

       [[2159, 2709]],

       [[ 762, 2742]]], dtype=int32), array([[[ 428, 3371]],

       [[2449, 3337]],

       [[2441, 1951]],

       [[ 450, 1870]]])]"
zaal_18,IMG_20190323_120746.jpg,True,"[array([[[2454,  650]],

       [[2541, 3223]],

       [[ 384, 3298]],

       [[ 323,  755]]], dtype=int32)]"
zaal_18,IMG_20190323_120752.jpg,False,[]
zaal_18,IMG_20190323_120756.jpg,True,"[array([[[ 427, 3487]],

       [[2496, 3476]],

       [[2560,  655]],

       [[ 378,  627]]])]"
zaal_18,IMG_20190323_120801.jpg,True,"[array([[[ 753, 1171]],

       [[2139, 1174]],

       [[2077, 2845]],

       [[ 858, 2843]]], dtype=int32)]"
zaal_18,IMG_20190323_120805.jpg,True,"[array([[[ 316,  845]],

       [[2188,  875]],

       [[2147, 3165]],

       [[ 506, 3174]]], dtype=int32)]"
zaal_18,IMG_20190323_120810.jpg,True,"[array([[[2447,  686]],

       [[2349, 3536]],

       [[ 397, 3534]],

       [[ 305,  707]]], dtype=int32)]"
zaal_18,IMG_20190323_120814.jpg,True,"[array([[[ 295,  786]],

       [[2557,  835]],

       [[2364, 3754]],

       [[ 368, 3836]]], dtype=int32)]"
zaal_19,IMG_20190323_120852.jpg,True,"[array([[[2276, 3314]],

       [[2293,  682]],

       [[ 342,  658]],

       [[ 403, 3268]]])]"
zaal_19,IMG_20190323_120858.jpg,True,"[array([[[1279,  599]],

       [[2933,  613]],

       [[2990, 1897]],

       [[1245, 1900]]], dtype=int32)]"
zaal_19,IMG_20190323_120903.jpg,True,"[array([[[ 928,  508]],

       [[2984,  526]],

       [[3120, 2230]],

       [[ 735, 2252]]], dtype=int32)]"
zaal_19,IMG_20190323_120907.jpg,True,"[array([[[ 806,  997]],

       [[2369, 1017]],

       [[2248, 2805]],

       [[ 861, 2834]]], dtype=int32)]"
zaal_19,IMG_20190323_120916.jpg,True,"[array([[[ 814,  441]],

       [[3253,  475]],

       [[3128, 2550]],

       [[ 905, 2479]]], dtype=int32)]"
zaal_19,IMG_20190323_120936.jpg,True,"[array([[[ 765, 2577]],

       [[2944, 2564]],

       [[3079,  422]],

       [[ 676,  410]]])]"
zaal_19,IMG_20190323_120945.jpg,True,"[array([[[1064,  707]],

       [[3127,  691]],

       [[3436, 2412]],

       [[ 956, 2344]]], dtype=int32)]"
zaal_19,IMG_20190323_120954.jpg,True,"[array([[[2688,  497]],

       [[2722, 1497]],

       [[1394, 1473]],

       [[1434,  515]]], dtype=int32), array([[[1016,  404]],

       [[ 920, 1722]],

       [[   1, 1795]],

       [[   0,  406]]], dtype=int32), array([[[3321, 2069]],

       [[3998, 2090]],

       [[4031,  332]],

       [[3165,  350]]])]"
